# number of matrix elements
10000
i j k l Vbar
0 9 3 8 -1.84452
0 9 3 9 0
0 9 4 0 0
0 9 4 1 2.45696
0 9 4 2 0
0 9 4 3 2.47258
0 9 4 4 0
0 9 4 5 1.96947
0 9 4 6 0
0 9 4 7 1.58686
0 9 4 8 0
0 9 4 9 1.34736
0 9 5 0 -2.45696
0 9 5 1 0
0 9 5 2 -2.47258
0 9 5 3 0
0 9 5 4 -1.96947
0 9 5 5 0
0 9 5 6 -1.58686
0 9 5 7 0
0 9 5 8 -1.34736
0 9 5 9 0
0 9 6 0 0
0 9 6 1 2.92572
0 9 6 2 0
0 9 6 3 2.15057
0 9 6 4 0
0 9 6 5 1.58686
0 9 6 6 0
0 9 6 7 1.26312
0 9 6 8 0
0 9 6 9 1.04999
0 9 7 0 -2.92572
0 9 7 1 0
0 9 7 2 -2.15057
0 9 7 3 0
0 9 7 4 -1.58686
0 9 7 5 0
0 9 7 6 -1.26312
0 9 7 7 0
0 9 7 8 -1.04999
0 9 7 9 0
0 9 8 0 0
0 9 8 1 2.89147
0 9 8 2 0
0 9 8 3 1.84452
0 9 8 4 0
0 9 8 5 1.34736
0 9 8 6 0
0 9 8 7 1.04999
0 9 8 8 0
0 9 8 9 0.858218
0 9 9 0 -2.89147
0 9 9 1 0
0 9 9 2 -1.84452
0 9 9 3 0
0 9 9 4 -1.34736
0 9 9 5 0
0 9 9 6 -1.04999
0 9 9 7 0
0 9 9 8 -0.858218
0 9 9 9 0
1 0 0 0 0
1 0 0 1 -12.6886
1 0 0 2 0
1 0 0 3 -6.49961
1 0 0 4 0
1 0 0 5 -3.05556
1 0 0 6 0
1 0 0 7 -1.39548
1 0 0 8 0
1 0 0 9 -0.629417
1 0 1 0 12.6886
1 0 1 1 0
1 0 1 2 6.49961
1 0 1 3 0
1 0 1 4 3.05556
1 0 1 5 0
1 0 1 6 1.39548
1 0 1 7 0
1 0 1 8 0.629417
1 0 1 9 0
1 0 2 0 0
1 0 2 1 -6.49961
1 0 2 2 0
1 0 2 3 -5.57867
1 0 2 4 0
1 0 2 5 -3.6921
1 0 2 6 0
1 0 2 7 -2.18036
1 0 2 8 0
1 0 2 9 -1.20895
1 0 3 0 6.49961
1 0 3 1 0
1 0 3 2 5.57867
1 0 3 3 0
1 0 3 4 3.6921
1 0 3 5 0
1 0 3 6 2.18036
1 0 3 7 0
1 0 3 8 1.20895
1 0 3 9 0
1 0 4 0 0
1 0 4 1 -3.05556
1 0 4 2 0
1 0 4 3 -3.6921
1 0 4 4 0
1 0 4 5 -3.15965
1 0 4 6 0
1 0 4 7 -2.29382
1 0 4 8 0
1 0 4 9 -1.51187
1 0 5 0 3.05556
1 0 5 1 0
1 0 5 2 3.6921
1 0 5 3 0
1 0 5 4 3.15965
1 0 5 5 0
1 0 5 6 2.29382
1 0 5 7 0
1 0 5 8 1.51187
1 0 5 9 0
1 0 6 0 0
1 0 6 1 -1.39548
1 0 6 2 0
1 0 6 3 -2.18036
1 0 6 4 0
1 0 6 5 -2.29382
1 0 6 6 0
1 0 6 7 -1.9795
1 0 6 8 0
1 0 6 9 -1.51413
1 0 7 0 1.39548
1 0 7 1 0
1 0 7 2 2.18036
1 0 7 3 0
1 0 7 4 2.29382
1 0 7 5 0
1 0 7 6 1.9795
1 0 7 7 0
1 0 7 8 1.51413
1 0 7 9 0
1 0 8 0 0
1 0 8 1 -0.629417
1 0 8 2 0
1 0 8 3 -1.20895
1 0 8 4 0
1 0 8 5 -1.51187
1 0 8 6 0
1 0 8 7 -1.51413
1 0 8 8 0
1 0 8 9 -1.32003
1 0 9 0 0.629417
1 0 9 1 0
1 0 9 2 1.20895
1 0 9 3 0
1 0 9 4 1.51187
1 0 9 5 0
1 0 9 6 1.51413
1 0 9 7 0
1 0 9 8 1.32003
1 0 9 9 0
1 1 0 0 0
1 1 0 1 0
1 1 0 2 0
1 1 0 3 0
1 1 0 4 0
1 1 0 5 0
1 1 0 6 0
1 1 0 7 0
1 1 0 8 0
1 1 0 9 0
1 1 1 0 0
1 1 1 1 0
1 1 1 2 0
1 1 1 3 0
1 1 1 4 0
1 1 1 5 0
1 1 1 6 0
1 1 1 7 0
1 1 1 8 0
1 1 1 9 0
1 1 2 0 0
1 1 2 1 0
1 1 2 2 0
1 1 2 3 0
1 1 2 4 0
1 1 2 5 0
1 1 2 6 0
1 1 2 7 0
1 1 2 8 0
1 1 2 9 0
1 1 3 0 0
1 1 3 1 0
1 1 3 2 0
1 1 3 3 0
1 1 3 4 0
1 1 3 5 0
1 1 3 6 0
1 1 3 7 0
1 1 3 8 0
1 1 3 9 0
1 1 4 0 0
1 1 4 1 0
1 1 4 2 0
1 1 4 3 0
1 1 4 4 0
1 1 4 5 0
1 1 4 6 0
1 1 4 7 0
1 1 4 8 0
1 1 4 9 0
1 1 5 0 0
1 1 5 1 0
1 1 5 2 0
1 1 5 3 0
1 1 5 4 0
1 1 5 5 0
1 1 5 6 0
1 1 5 7 0
1 1 5 8 0
1 1 5 9 0
1 1 6 0 0
1 1 6 1 0
1 1 6 2 0
1 1 6 3 0
1 1 6 4 0
1 1 6 5 0
1 1 6 6 0
1 1 6 7 0
1 1 6 8 0
1 1 6 9 0
1 1 7 0 0
1 1 7 1 0
1 1 7 2 0
1 1 7 3 0
1 1 7 4 0
1 1 7 5 0
1 1 7 6 0
1 1 7 7 0
1 1 7 8 0
1 1 7 9 0
1 1 8 0 0
1 1 8 1 0
1 1 8 2 0
1 1 8 3 0
1 1 8 4 0
1 1 8 5 0
1 1 8 6 0
1 1 8 7 0
1 1 8 8 0
1 1 8 9 0
1 1 9 0 0
1 1 9 1 0
1 1 9 2 0
1 1 9 3 0
1 1 9 4 0
1 1 9 5 0
1 1 9 6 0
