# number of matrix elements
alot
n1 s1 n2 s2 n3 s3 n4 s4 Vbar
1 -1 1 -1 0 -1 2 1 0
1 -1 1 -1 0 1 0 -1 0
1 -1 1 -1 0 1 0 1 0
1 -1 1 -1 0 1 1 -1 0
1 -1 1 -1 0 1 1 1 0
1 -1 1 -1 0 1 2 -1 0
1 -1 1 -1 0 1 2 1 0
1 -1 1 -1 1 -1 0 -1 0
1 -1 1 -1 1 -1 0 1 0
1 -1 1 -1 1 -1 1 -1 0
1 -1 1 -1 1 -1 1 1 0
1 -1 1 -1 1 -1 2 -1 0
1 -1 1 -1 1 -1 2 1 0
1 -1 1 -1 1 1 0 -1 0
1 -1 1 -1 1 1 0 1 0
1 -1 1 -1 1 1 1 -1 0
1 -1 1 -1 1 1 1 1 0
1 -1 1 -1 1 1 2 -1 0
1 -1 1 -1 1 1 2 1 0
1 -1 1 -1 2 -1 0 -1 0
1 -1 1 -1 2 -1 0 1 0
1 -1 1 -1 2 -1 1 -1 0
1 -1 1 -1 2 -1 1 1 0
1 -1 1 -1 2 -1 2 -1 0
1 -1 1 -1 2 -1 2 1 0
1 -1 1 -1 2 1 0 -1 0
1 -1 1 -1 2 1 0 1 0
1 -1 1 -1 2 1 1 -1 0
1 -1 1 -1 2 1 1 1 0
1 -1 1 -1 2 1 2 -1 0
1 -1 1 -1 2 1 2 1 0
1 -1 1 1 0 -1 0 -1 0
1 -1 1 1 0 -1 0 1 5.57867
1 -1 1 1 0 -1 1 -1 0
1 -1 1 1 0 -1 1 1 4.13051
1 -1 1 1 0 -1 2 -1 0
1 -1 1 1 0 -1 2 1 3.89555
1 -1 1 1 0 1 0 -1 -5.57867
1 -1 1 1 0 1 0 1 0
1 -1 1 1 0 1 1 -1 -4.13051
1 -1 1 1 0 1 1 1 0
1 -1 1 1 0 1 2 -1 -3.89555
1 -1 1 1 0 1 2 1 0
1 -1 1 1 1 -1 0 -1 0
1 -1 1 1 1 -1 0 1 4.13051
1 -1 1 1 1 -1 1 -1 0
1 -1 1 1 1 -1 1 1 6.01148
1 -1 1 1 1 -1 2 -1 0
1 -1 1 1 1 -1 2 1 3.76459
1 -1 1 1 1 1 0 -1 -4.13051
1 -1 1 1 1 1 0 1 0
1 -1 1 1 1 1 1 -1 -6.01148
1 -1 1 1 1 1 1 1 0
1 -1 1 1 1 1 2 -1 -3.76459
1 -1 1 1 1 1 2 1 0
1 -1 1 1 2 -1 0 -1 0
1 -1 1 1 2 -1 0 1 3.89555
1 -1 1 1 2 -1 1 -1 0
1 -1 1 1 2 -1 1 1 3.76459
1 -1 1 1 2 -1 2 -1 0
1 -1 1 1 2 -1 2 1 3.54664
1 -1 1 1 2 1 0 -1 -3.89555
1 -1 1 1 2 1 0 1 0
1 -1 1 1 2 1 1 -1 -3.76459
1 -1 1 1 2 1 1 1 0
1 -1 1 1 2 1 2 -1 -3.54664
1 -1 1 1 2 1 2 1 0
1 -1 2 -1 0 -1 0 -1 0
1 -1 2 -1 0 -1 0 1 0
1 -1 2 -1 0 -1 1 -1 0
1 -1 2 -1 0 -1 1 1 0
1 -1 2 -1 0 -1 2 -1 0
1 -1 2 -1 0 -1 2 1 0
1 -1 2 -1 0 1 0 -1 0
1 -1 2 -1 0 1 0 1 0
1 -1 2 -1 0 1 1 -1 0
1 -1 2 -1 0 1 1 1 0
1 -1 2 -1 0 1 2 -1 0
1 -1 2 -1 0 1 2 1 0
1 -1 2 -1 1 -1 0 -1 0
1 -1 2 -1 1 -1 0 1 0
1 -1 2 -1 1 -1 1 -1 0
1 -1 2 -1 1 -1 1 1 0
1 -1 2 -1 1 -1 2 -1 0
1 -1 2 -1 1 -1 2 1 0
1 -1 2 -1 1 1 0 -1 0
1 -1 2 -1 1 1 0 1 0
1 -1 2 -1 1 1 1 -1 0
1 -1 2 -1 1 1 1 1 0
1 -1 2 -1 1 1 2 -1 0
1 -1 2 -1 1 1 2 1 0
1 -1 2 -1 2 -1 0 -1 0
1 -1 2 -1 2 -1 0 1 0
1 -1 2 -1 2 -1 1 -1 0
1 -1 2 -1 2 -1 1 1 0
1 -1 2 -1 2 -1 2 -1 0
1 -1 2 -1 2 -1 2 1 0
1 -1 2 -1 2 1 0 -1 0
1 -1 2 -1 2 1 0 1 0
1 -1 2 -1 2 1 1 -1 0
1 -1 2 -1 2 1 1 1 0
1 -1 2 -1 2 1 2 -1 0
1 -1 2 -1 2 1 2 1 0
1 -1 2 1 0 -1 0 -1 0
1 -1 2 1 0 -1 0 1 3.6921
1 -1 2 1 0 -1 1 -1 0
1 -1 2 1 0 -1 1 1 3.34531
1 -1 2 1 0 -1 2 -1 0
1 -1 2 1 0 -1 2 1 2.92994
1 -1 2 1 0 1 0 -1 -3.6921
1 -1 2 1 0 1 0 1 0
1 -1 2 1 0 1 1 -1 -3.34531
1 -1 2 1 0 1 1 1 0
1 -1 2 1 0 1 2 -1 -2.92994
1 -1 2 1 0 1 2 1 0
1 -1 2 1 1 -1 0 -1 0
1 -1 2 1 1 -1 0 1 3.34531
1 -1 2 1 1 -1 1 -1 0
1 -1 2 1 1 -1 1 1 3.76459
1 -1 2 1 1 -1 2 -1 0
1 -1 2 1 1 -1 2 1 4.06059
1 -1 2 1 1 1 0 -1 -3.34531
1 -1 2 1 1 1 0 1 0
1 -1 2 1 1 1 1 -1 -3.76459
1 -1 2 1 1 1 1 1 0
1 -1 2 1 1 1 2 -1 -4.06059
1 -1 2 1 1 1 2 1 0
1 -1 2 1 2 -1 0 -1 0
1 -1 2 1 2 -1 0 1 2.92994
1 -1 2 1 2 -1 1 -1 0
1 -1 2 1 2 -1 1 1 4.06059
1 -1 2 1 2 -1 2 -1 0
1 -1 2 1 2 -1 2 1 2.92276
1 -1 2 1 2 1 0 -1 -2.92994
1 -1 2 1 2 1 0 1 0
1 -1 2 1 2 1 1 -1 -4.06059
1 -1 2 1 2 1 1 1 0
1 -1 2 1 2 1 2 -1 -2.92276
1 -1 2 1 2 1 2 1 0
1 1 0 -1 0 -1 0 -1 0
1 1 0 -1 0 -1 0 1 -6.49961
1 1 0 -1 0 -1 1 -1 0
1 1 0 -1 0 -1 1 1 -6.61607
1 1 0 -1 0 -1 2 -1 0
1 1 0 -1 0 -1 2 1 -4.63569
1 1 0 -1 0 1 0 -1 6.49961
1 1 0 -1 0 1 0 1 0
1 1 0 -1 0 1 1 -1 6.61607
